# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	800461	801219	+	WP_069333694.1	WP_069333694.1		Fe-S cluster assembly ATPase SufC	sufC		EYE35_RS04080	759	252	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	801219	802502	+							EYE35_RS04085	1284		old_locus_tag=EYE35_04085
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	801219	802502	+	WP_069333693.1	WP_069333693.1		Fe-S cluster assembly protein SufD			EYE35_RS04085	1284	427	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	802503	802982	+							EYE35_RS04090	480		old_locus_tag=EYE35_04090
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	802503	802982	+	WP_069333692.1	WP_069333692.1		hypothetical protein			EYE35_RS04090	480	159	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	802979	803557	+							EYE35_RS04095	579		old_locus_tag=EYE35_04095
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	802979	803557	+	WP_069333691.1	WP_069333691.1		YIP1 family protein			EYE35_RS04095	579	192	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	803567	804787	+							EYE35_RS04100	1221		old_locus_tag=EYE35_04100
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	803567	804787	+	WP_137457355.1	WP_137457355.1		cysteine desulfurase			EYE35_RS04100	1221	406	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	805014	805949	-					cobD		EYE35_RS04105	936		old_locus_tag=EYE35_04105
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	805014	805949	-	WP_137457356.1	WP_137457356.1		cobalamin biosynthesis protein CobD	cobD		EYE35_RS04105	936	311	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	806155	806376	+							EYE35_RS04110	222		old_locus_tag=EYE35_04110
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	806155	806376	+	WP_101328281.1	WP_101328281.1		transcriptional regulator			EYE35_RS04110	222	73	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	806420	808276	-							EYE35_RS04115	1857		old_locus_tag=EYE35_04115
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	806420	808276	-	WP_137457357.1	WP_137457357.1		ABC transporter ATP-binding protein			EYE35_RS04115	1857	618	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	808545	809867	+							EYE35_RS04120	1323		old_locus_tag=EYE35_04120
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	808545	809867	+	WP_137457358.1	WP_137457358.1		4Fe-4S binding protein			EYE35_RS04120	1323	440	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	810211	810540	+							EYE35_RS04125	330		old_locus_tag=EYE35_04125
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	810211	810540	+	WP_002720593.1	WP_002720593.1		hypothetical protein			EYE35_RS04125	330	109	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	810614	813112	+							EYE35_RS04130	2499		old_locus_tag=EYE35_04130
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	810614	813112	+	WP_069333685.1	WP_069333685.1		cyclic nucleotide-binding domain-containing protein			EYE35_RS04130	2499	832	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	813385	815103	-							EYE35_RS04135	1719		old_locus_tag=EYE35_04135
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	813385	815103	-	WP_112330420.1	WP_112330420.1		methionine--tRNA ligase			EYE35_RS04135	1719	572	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	815254	815862	-							EYE35_RS04140	609		old_locus_tag=EYE35_04140
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	815254	815862	-	WP_137457359.1	WP_137457359.1		hypothetical protein			EYE35_RS04140	609	202	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	816079	817119	+							EYE35_RS04145	1041		old_locus_tag=EYE35_04145
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	816079	817119	+	WP_137457360.1	WP_137457360.1		aldo/keto reductase			EYE35_RS04145	1041	346	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	817198	817659	+							EYE35_RS04150	462		old_locus_tag=EYE35_04150
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	817198	817659	+	WP_137457361.1	WP_137457361.1		hypothetical protein			EYE35_RS04150	462	153	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	817647	818147	+							EYE35_RS04155	501		old_locus_tag=EYE35_04155
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	817647	818147	+	WP_137457362.1	WP_137457362.1		lipocalin family protein			EYE35_RS04155	501	166	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	818163	818537	+							EYE35_RS04160	375		old_locus_tag=EYE35_04160
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	818163	818537	+	WP_137457363.1	WP_137457363.1		hypothetical protein			EYE35_RS04160	375	124	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	818608	819285	-							EYE35_RS04165	678		old_locus_tag=EYE35_04165
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	818608	819285	-	WP_137457364.1	WP_137457364.1		NUDIX domain-containing protein			EYE35_RS04165	678	225	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	819254	819664	-							EYE35_RS04170	411		old_locus_tag=EYE35_04170
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	819254	819664	-	WP_069333562.1	WP_069333562.1		DUF983 domain-containing protein			EYE35_RS04170	411	136	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	819866	820495	+							EYE35_RS04175	630		old_locus_tag=EYE35_04175
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	819866	820495	+	WP_137457365.1	WP_137457365.1		calcium sensor EFh			EYE35_RS04175	630	209	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	820578	821165	+							EYE35_RS04180	588		old_locus_tag=EYE35_04180
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	820578	821165	+	WP_101328287.1	WP_101328287.1		RNA polymerase sigma factor			EYE35_RS04180	588	195	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	821167	821526	+							EYE35_RS04185	360		old_locus_tag=EYE35_04185
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	821167	821526	+	WP_137457366.1	WP_137457366.1		dihydroorotate dehydrogenase			EYE35_RS04185	360	119	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	821528	822055	+							EYE35_RS04190	528		old_locus_tag=EYE35_04190
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	821528	822055	+	WP_137457367.1	WP_137457367.1		periplasmic heavy metal sensor			EYE35_RS04190	528	175	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	822175	823560	-							EYE35_RS04195	1386		old_locus_tag=EYE35_04195
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	822175	823560	-	WP_137457368.1	WP_137457368.1		diguanylate cyclase			EYE35_RS04195	1386	461	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	823690	823968	+							EYE35_RS04200	279		old_locus_tag=EYE35_04200
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	823690	823968	+	WP_069333079.1	WP_069333079.1		DUF3572 family protein			EYE35_RS04200	279	92	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	824024	824716	+							EYE35_RS04205	693		old_locus_tag=EYE35_04205
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	824024	824716	+	WP_069333080.1	WP_069333080.1		HAD family hydrolase			EYE35_RS04205	693	230	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	824838	826559	+							EYE35_RS04210	1722		old_locus_tag=EYE35_04210
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	824838	826559	+	WP_137457369.1	WP_137457369.1		DUF4153 domain-containing protein			EYE35_RS04210	1722	573	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	826622	827209	+							EYE35_RS04215	588		old_locus_tag=EYE35_04215
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	826622	827209	+	WP_069333082.1	WP_069333082.1		heme NO-binding protein			EYE35_RS04215	588	195	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	827209	828216	+							EYE35_RS04220	1008		old_locus_tag=EYE35_04220
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	827209	828216	+	WP_069333083.1	WP_069333083.1		GGDEF domain-containing protein			EYE35_RS04220	1008	335	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	828418	829275	-							EYE35_RS04225	858		old_locus_tag=EYE35_04225
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	828418	829275	-	WP_137458600.1	WP_137458600.1		CHAD domain-containing protein			EYE35_RS04225	858	285	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	829292	830230	-							EYE35_RS04230	939		old_locus_tag=EYE35_04230
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	829292	830230	-	WP_137457370.1	WP_137457370.1		hypothetical protein			EYE35_RS04230	939	312	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	830432	831427	+							EYE35_RS04235	996		old_locus_tag=EYE35_04235
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	830432	831427	+	WP_137457371.1	WP_137457371.1		2-hydroxyacid dehydrogenase			EYE35_RS04235	996	331	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	831642	832685	+							EYE35_RS04240	1044		old_locus_tag=EYE35_04240
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	831642	832685	+	WP_137458601.1	WP_137458601.1		diguanylate cyclase			EYE35_RS04240	1044	347	
gene	tRNA	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	832751	832825	-							EYE35_RS04245	75		old_locus_tag=EYE35_04245
tRNA		GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	832751	832825	-				tRNA-Glu			EYE35_RS04245	75		anticodon=TTC
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	832896	834647	-					recJ		EYE35_RS04250	1752		old_locus_tag=EYE35_04250
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	832896	834647	-	WP_137457372.1	WP_137457372.1		single-stranded-DNA-specific exonuclease RecJ	recJ		EYE35_RS04250	1752	583	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	834644	835609	-					glpX		EYE35_RS04255	966		old_locus_tag=EYE35_04255
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	834644	835609	-	WP_101328261.1	WP_101328261.1		class II fructose-bisphosphatase	glpX		EYE35_RS04255	966	321	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	835672	836958	-							EYE35_RS04260	1287		old_locus_tag=EYE35_04260
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	835672	836958	-	WP_069330830.1	WP_069330830.1		homoserine dehydrogenase			EYE35_RS04260	1287	428	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	837048	837290	-							EYE35_RS04265	243		old_locus_tag=EYE35_04265
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	837048	837290	-	WP_137457373.1	WP_137457373.1		hypothetical protein			EYE35_RS04265	243	80	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	837453	838043	+							EYE35_RS04270	591		old_locus_tag=EYE35_04270
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	837453	838043	+	WP_069330828.1	WP_069330828.1		TetR/AcrR family transcriptional regulator			EYE35_RS04270	591	196	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	838195	838731	-							EYE35_RS04275	537		old_locus_tag=EYE35_04275
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	838195	838731	-	WP_137457374.1	WP_137457374.1		pilus assembly protein			EYE35_RS04275	537	178	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	838735	839292	-							EYE35_RS04280	558		old_locus_tag=EYE35_04280
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	838735	839292	-	WP_137457375.1	WP_137457375.1		pilus assembly protein			EYE35_RS04280	558	185	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	839289	840989	-							EYE35_RS04285	1701		old_locus_tag=EYE35_04285
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	839289	840989	-	WP_137457376.1	WP_137457376.1		hypothetical protein			EYE35_RS04285	1701	566	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	841514	842941	+							EYE35_RS04290	1428		old_locus_tag=EYE35_04290
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	841514	842941	+	WP_137457377.1	WP_137457377.1		Glu/Leu/Phe/Val dehydrogenase			EYE35_RS04290	1428	475	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	843067	844998	+							EYE35_RS04295	1932		old_locus_tag=EYE35_04295
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	843067	844998	+	WP_137457378.1	WP_137457378.1		DNA primase			EYE35_RS04295	1932	643	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	845103	847109	+					rpoD		EYE35_RS04300	2007		old_locus_tag=EYE35_04300
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	845103	847109	+	WP_069332997.1	WP_069332997.1		RNA polymerase sigma factor RpoD	rpoD		EYE35_RS04300	2007	668	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	847121	847501	+							EYE35_RS04305	381		old_locus_tag=EYE35_04305
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	847121	847501	+	WP_101329181.1	WP_101329181.1		hypothetical protein			EYE35_RS04305	381	126	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	847740	848207	+					nrdR		EYE35_RS04310	468		old_locus_tag=EYE35_04310
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	847740	848207	+	WP_002720557.1	WP_002720557.1		transcriptional repressor NrdR	nrdR		EYE35_RS04310	468	155	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	848222	849292	+					ribD		EYE35_RS04315	1071		old_locus_tag=EYE35_04315
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	848222	849292	+	WP_137458602.1	WP_137458602.1		bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase RibD	ribD		EYE35_RS04315	1071	356	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	849455	849883	-							EYE35_RS04320	429		old_locus_tag=EYE35_04320
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	849455	849883	-	WP_101329360.1	WP_101329360.1		hypothetical protein			EYE35_RS04320	429	142	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	850173	851069	+					thyA		EYE35_RS04325	897		old_locus_tag=EYE35_04325
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	850173	851069	+	WP_137457379.1	WP_137457379.1		thymidylate synthase	thyA		EYE35_RS04325	897	298	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	851069	851548	+							EYE35_RS04330	480		old_locus_tag=EYE35_04330
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	851069	851548	+	WP_137457380.1	WP_137457380.1		dihydrofolate reductase			EYE35_RS04330	480	159	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	851581	851985	+							EYE35_RS04335	405		old_locus_tag=EYE35_04335
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	851581	851985	+	WP_112330398.1	WP_112330398.1		DUF2177 family protein			EYE35_RS04335	405	134	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	852052	852378	+							EYE35_RS04340	327		old_locus_tag=EYE35_04340
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	852052	852378	+	WP_002720551.1	WP_002720551.1		hypothetical protein			EYE35_RS04340	327	108	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	852439	852645	-							EYE35_RS04345	207		old_locus_tag=EYE35_04345
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	852439	852645	-	WP_002720550.1	WP_002720550.1		cold-shock protein			EYE35_RS04345	207	68	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	853156	855096	-					thrS		EYE35_RS04350	1941		old_locus_tag=EYE35_04350
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	853156	855096	-	WP_069331658.1	WP_069331658.1		threonine--tRNA ligase	thrS		EYE35_RS04350	1941	646	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	855257	856003	+							EYE35_RS04355	747		old_locus_tag=EYE35_04355
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	855257	856003	+	WP_137457381.1	WP_137457381.1		alpha/beta hydrolase			EYE35_RS04355	747	248	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	856093	857367	-					phaZ		EYE35_RS04360	1275		old_locus_tag=EYE35_04360
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	856093	857367	-	WP_069331660.1	WP_069331660.1		polyhydroxyalkanoate depolymerase	phaZ		EYE35_RS04360	1275	424	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	857469	859298	+					phaC		EYE35_RS04365	1830		old_locus_tag=EYE35_04365
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	857469	859298	+	WP_101329354.1	WP_101329354.1		class I poly(R)-hydroxyalkanoic acid synthase	phaC		EYE35_RS04365	1830	609	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	859423	859872	+							EYE35_RS04370	450		old_locus_tag=EYE35_04370
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	859423	859872	+	WP_002720545.1	WP_002720545.1		phasin			EYE35_RS04370	450	149	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	860000	860554	+					phaR		EYE35_RS04375	555		old_locus_tag=EYE35_04375
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	860000	860554	+	WP_015920915.1	WP_015920915.1		polyhydroxyalkanoate synthesis repressor PhaR	phaR		EYE35_RS04375	555	184	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	860617	861984	-							EYE35_RS04380	1368		old_locus_tag=EYE35_04380
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	860617	861984	-	WP_137457382.1	WP_137457382.1		aminotransferase class III-fold pyridoxal phosphate-dependent enzyme			EYE35_RS04380	1368	455	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	862317	863618	-							EYE35_RS04385	1302		old_locus_tag=EYE35_04385
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	862317	863618	-	WP_137457383.1	WP_137457383.1		FAD-binding oxidoreductase			EYE35_RS04385	1302	433	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	863615	864970	-							EYE35_RS04390	1356		old_locus_tag=EYE35_04390
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	863615	864970	-	WP_112330392.1	WP_112330392.1		glutamine synthetase			EYE35_RS04390	1356	451	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	864975	865652	-							EYE35_RS04395	678		old_locus_tag=EYE35_04395
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	864975	865652	-	WP_137457384.1	WP_137457384.1		type 1 glutamine amidotransferase			EYE35_RS04395	678	225	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	865712	867049	-							EYE35_RS04400	1338		old_locus_tag=EYE35_04400
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	865712	867049	-	WP_069331666.1	WP_069331666.1		glutamine synthetase			EYE35_RS04400	1338	445	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	867054	867881	-							EYE35_RS04405	828		old_locus_tag=EYE35_04405
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	867054	867881	-	WP_112330391.1	WP_112330391.1		ABC transporter permease subunit			EYE35_RS04405	828	275	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	867878	868759	-							EYE35_RS04410	882		old_locus_tag=EYE35_04410
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	867878	868759	-	WP_137457385.1	WP_137457385.1		ABC transporter permease subunit			EYE35_RS04410	882	293	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	868799	869524	-							EYE35_RS04415	726		old_locus_tag=EYE35_04415
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	868799	869524	-	WP_112330389.1	WP_112330389.1		transporter substrate-binding domain-containing protein			EYE35_RS04415	726	241	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	869567	870364	-							EYE35_RS04420	798		old_locus_tag=EYE35_04420
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	869567	870364	-	WP_069331670.1	WP_069331670.1		amino acid ABC transporter ATP-binding protein			EYE35_RS04420	798	265	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	870527	870964	-							EYE35_RS04425	438		old_locus_tag=EYE35_04425
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	870527	870964	-	WP_069331671.1	WP_069331671.1		TerB family tellurite resistance protein			EYE35_RS04425	438	145	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	871043	871825	-							EYE35_RS04430	783		old_locus_tag=EYE35_04430
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	871043	871825	-	WP_137457386.1	WP_137457386.1		23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ			EYE35_RS04430	783	260	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	872012	873655	-							EYE35_RS04435	1644		old_locus_tag=EYE35_04435
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	872012	873655	-	WP_101329455.1	WP_101329455.1		CTP synthase			EYE35_RS04435	1644	547	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	873818	874492	-					secG		EYE35_RS04440	675		old_locus_tag=EYE35_04440
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	873818	874492	-	WP_137457387.1	WP_137457387.1		preprotein translocase subunit SecG	secG		EYE35_RS04440	675	224	
gene	pseudogene	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	874557	874802	-							EYE35_RS04445	246		pseudo;old_locus_tag=EYE35_04445
CDS	without_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	874557	874802	-				hypothetical protein			EYE35_RS04445	246		pseudo
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	874818	876110	+							EYE35_RS04450	1293		old_locus_tag=EYE35_04450
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	874818	876110	+	WP_009565590.1	WP_009565590.1		adenylosuccinate synthase			EYE35_RS04450	1293	430	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	876190	876432	+							EYE35_RS04455	243		old_locus_tag=EYE35_04455
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	876190	876432	+	WP_137457388.1	WP_137457388.1		DUF2842 domain-containing protein			EYE35_RS04455	243	80	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	876439	877359	-							EYE35_RS04460	921		old_locus_tag=EYE35_04460
